  PID  SPID TTY          TIME CMD
 3516  3519 ?        00:00:15 gdbus
 3520  3520 ?        00:02:36 udisksd
 3520  3521 ?        00:00:00 gmain
 3520  3523 ?        00:06:56 gdbus
 3520  3537 ?        00:00:00 probing-thread
 3520  3554 ?        00:00:00 cleanup
 3520 28289 ?        00:00:00 pool
 3533  3533 ?        00:00:08 goa-identity-se
 3533  3538 ?        00:00:00 gmain
 3533  3539 ?        00:00:20 pool
 3533  3540 ?        00:00:00 gdbus
 3542  3542 ?        00:00:00 dconf-service
 3542  3543 ?        00:00:00 gmain
 3542  3544 ?        00:00:00 gdbus
 3546  3546 ?        00:00:00 gvfsd-metadata
 3546  3547 ?        00:00:00 gmain
 3546  3548 ?        00:00:00 gdbus
 3560  3560 ?        00:00:00 gvfs-goa-volume
 3560  3561 ?        00:00:00 gmain
 3560  3562 ?        00:00:00 gdbus
 3567  3567 ?        00:00:00 gvfs-gphoto2-vo
 3567  3569 ?        00:00:00 gmain
 3567  3572 ?        00:00:00 gdbus
 3574  3574 ?        00:00:00 gvfs-afc-volume
 3574  3578 ?        00:00:00 gvfs-afc-volume
 3574  3580 ?        00:00:00 gmain
 3574  3583 ?        00:00:00 gdbus
 3575  3575 ?        00:00:09 kworker/2:1
 3581  3581 ?        00:00:00 evolution-calen
 3581  3599 ?        00:00:00 evolution-calen
 3581  3614 ?        00:00:00 gmain
 3581  3615 ?        00:00:00 gdbus
 3581  3729 ?        00:00:00 dconf worker
 3581  3730 ?        00:00:00 evolution-calen
 3586  3586 ?        00:00:00 gvfs-mtp-volume
 3586  3588 ?        00:00:00 gmain
 3586  3591 ?        00:00:00 gdbus
 3619  3619 ?        00:30:11 gsd-account
 3619  3627 ?        00:00:00 gmain
 3619  3630 ?        00:35:05 gdbus
 3619  3678 ?        00:00:00 dconf worker
 3622  3622 ?        00:00:00 gsd-mouse
 3622  3629 ?        00:00:00 gmain
 3622  3631 ?        00:00:00 gdbus
 3622  3686 ?        00:00:00 dconf worker
 3623  3623 ?        00:00:02 gsd-power
 3623  3637 ?        00:00:00 gmain
 3623  3639 ?        00:00:02 gdbus
 3623  3693 ?        00:00:00 dconf worker
 3624  3624 ?        00:00:00 gsd-print-notif
 3624  3634 ?        00:00:00 gmain
 3624  3635 ?        00:00:00 gdbus
 3625  3625 ?        00:00:00 gsd-rfkill
 3625  3636 ?        00:00:00 gmain
 3625  3640 ?        00:00:00 gdbus
 3628  3628 ?        00:00:00 gsd-screensaver
 3628  3642 ?        00:00:00 gmain
 3628  3645 ?        00:00:00 gdbus
 3632  3632 ?        00:00:00 gsd-wacom
 3632  3648 ?        00:00:00 gmain
 3632  3649 ?        00:00:00 gdbus
 3633  3633 ?        00:00:00 gsd-xsettings
 3633  3656 ?        00:00:00 gmain
 3633  3657 ?        00:00:00 gdbus
 3633  3685 ?        00:00:00 dconf worker
 3641  3641 ?        00:00:00 gsd-smartcard
 3641  3652 ?        00:00:00 gmain
 3641  3655 ?        00:00:00 gdbus
 3641  3681 ?        00:00:00 dconf worker
 3641  3704 ?        00:00:00 pool
 3644  3644 ?        00:00:00 gsd-sharing
 3644  3650 ?        00:00:00 dconf worker
 3644  3651 ?        00:00:00 gmain
 3644  3653 ?        00:00:00 gdbus
 3646  3646 ?        00:00:00 gsd-sound
 3646  3663 ?        00:00:00 gmain
 3646  3665 ?        00:00:00 gdbus
 3646  3683 ?        00:00:00 dconf worker
 3659  3659 ?        00:00:00 gsd-a11y-keyboa
 3659  3674 ?        00:00:00 gmain
 3659  3675 ?        00:00:00 gdbus
 3659  3687 ?        00:00:00 dconf worker
 3660  3660 ?        00:00:00 gsd-a11y-settin
 3660  3666 ?        00:00:00 gmain
 3660  3668 ?        00:00:00 gdbus
 3660  3684 ?        00:00:00 dconf worker
 3662  3662 ?        00:00:00 gsd-clipboard
 3662  3696 ?        00:00:00 gmain
 3662  3698 ?        00:00:00 gdbus
 3667  3667 ?        00:05:00 gsd-color
 3667  3710 ?        00:00:00 dconf worker
 3667  3711 ?        00:00:00 gmain
 3667  3713 ?        00:00:00 gdbus
 3669  3669 ?        00:00:00 gsd-datetime
 3669  3694 ?        00:00:00 gmain
 3669  3697 ?        00:00:00 gdbus
 3669  3707 ?        00:00:00 dconf worker
 3670  3670 ?        00:01:02 gsd-housekeepin
 3670  3699 ?        00:00:00 gmain
 3670  3701 ?        00:00:00 gdbus
 3670  3715 ?        00:00:00 dconf worker
 3671  3671 ?        00:00:00 gsd-keyboard
 3671  3703 ?        00:00:00 dconf worker
 3671  3705 ?        00:00:00 gmain
 3671  3708 ?        00:00:00 gdbus
 3673  3673 ?        00:00:00 gsd-media-keys
 3673  3714 ?        00:00:00 gmain
 3673  3716 ?        00:00:00 gdbus
